idstd;id;panel;a4a;a6a;a4b;a6c;a6b;a1;country;lcu;a7a;a20y;b1;b3;b2a;b2b;b2c;b2d;b4;b4a;bmb1;bmb2;bmb3;bmb4;b5;b6;b6b;b7;b7a;d1a1a;d1a1x;d1a3;d2;n3;bmd1a;bmd1b;d3a;d3b;d3c;bmr2;bmr3;bmr4;bmr5;bmr6;bmr7;bmr8;e1;e2b;h1;h2;h5;bmh1;bmh2;bmh3;h8;h9;bmt3;k4;n5a;n5b;bmk6;k4b;n5c;n5d;k21;j6a;l1;l2;l4a1;l4a2;l4b;l5a;l5b;l5;l6;l6a;l8;l9b;l9b1;bml1a;bml1b;l10;bml2;l11a;l11a1;l11b;n2a;n2e;n2b;n2f;n2i;n2p;n2e1;n7a;bmge1;bmge2;d1a2;stratificationsizecode;stratificationsectorcode;Cyprus;Estonia;Greece;Italy;Latvia;Lithuania;Malta;Portugal;Slovak_rep;Slovenia;firm_age;manager_experience;top_manager_female;firm_size;sales;exportsDV;manufacturing;retail;other_services;food;garments;metal_products;machinery;other_manufacturing;R_D;product_innovation;fixed_asset;ln_sales;female_owners;family_firms
651343;22;Panel;Manufacturing;Small;Food;11;Small;Cyprus;Cyprus;Euro (EUR);;2018;Sole proprietorship;100;100;0;0;0;No;;100;100;No;No;1999;4;1999;27;Yes;Manufacturing of ;Bakery;80;1100685;800000;Increase;10;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;1;Yes;Yes;No;No;No;No;;;;Yes;20000;0;No;No;;;Yes;No;11;9;2;5;0;6;2;;No full-time seasonal or temporary workers;;;;2;;1;No;;;;;209413;441256;23431;24000;;Don't know (spontaneous);400000;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);1541;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;22;27;1;11;1100685;0;1;0;0;0;0;0;0;0;0;1;1;14;0;1
651344;25;Panel;Manufacturing;Small;Food;3;Micro;Cyprus;Cyprus;Euro (EUR);;2018;Sole proprietorship;100;100;0;0;0;No;;100;100;Yes;Yes;1996;7;1996;22;No;Manufacturing of ;Manufacture Of Bread;70;240000;250000;Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;16;Yes;Yes;No;No;No;Yes;Yes;5000;;Yes;2000;0;No;No;;;No;No;3;5;1;0;1;0;0;;1;1;7;100;;50;;No;;;;;55000;70000;24000;12000;;210000;Don't know (spontaneous);150000;Don't know (spontaneous);10;1541;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;25;22;0;3;240000;0;1;0;0;0;0;0;0;0;1;1;1;12;0;1
651345;28;Panel;Manufacturing;Small;Food;16;Small;Cyprus;Cyprus;Euro (EUR);;2017;Shareholding company with non-traded shares or shares traded privately;50;100;0;0;0;No;;50;50;No;No;1958;3;1994;Don't know (spontaneous);No;Manufacturing of ;Bakery;80;650000;630000;Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;1;No;;No;No;No;No;;;;Yes;10000;0;No;No;;;Yes;No;16;14;0;0;16;16;0;;No full-time seasonal or temporary workers;;;;14;;2;No;;;;;180000;220000;1200;2000;;550000;200000;200000;7050;6000;1541;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;63;;0;16;650000;0;1;0;0;0;0;0;0;0;0;0;1;13;0;0
651346;29;Panel;Manufacturing;Large;Food;140;Large;Cyprus;Cyprus;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;40;100;0;0;0;Yes;20;100;100;No;No;1999;Don't know (spontaneous);1998;20;No;Manufacturing of ;Bakery;75;8000000;6500000;Stay the same;;100;0;0;Yes;10 or more indicators;Yes;Main focus was on short-term, less than one year;Achieved with some effort;Only senior managers;No;Local Ð main product sold mostly in same municipality where establishment is located;2;Yes;Yes;No;No;No;No;;;Daily;Yes;120000;0;No;Yes;70000;0;No;No;140;125;2;63;0;Don't know (spontaneous);Don't know (spontaneous);;No full-time seasonal or temporary workers;;;5;;5;;Yes;Job-specific technical skills;100;;100;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);;Don't know (spontaneous);Don't know (spontaneous);60000;Don't know (spontaneous);Don't know (spontaneous);1541;Large (100 or more);1;1;0;0;0;0;0;0;0;0;0;22;20;0;140;8000000;0;1;0;0;0;0;0;0;0;0;1;1;16;1;1
651347;31;Panel;Manufacturing;Medium;Food;20;Medium;Cyprus;Cyprus;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;51;100;0;0;0;Yes;51;100;25;Yes;Yes;1989;1;1989;3;Yes;Manufacturing of ;Processing Of Agricultural Products (E.G. Vegetables And Fruits);100;790000;830000;Increase;7;90;10;0;Yes;1-2 indicators;Yes;Combination of short-term and long-term targets;Achieved with normal amount of effort;All managers and most production workers;Yes;National Ð main product sold mostly across the country where establishment is located;2;Yes;Yes;Yes;Yes;Yes;Yes;Yes;10000;;Yes;20000;0;No;Yes;2000;0;No;No;20;20;0;0;16;16;1;;No full-time seasonal or temporary workers;;;;17;;3;Yes;Job-specific technical skills;;16;;216000;206000;20000;10000;;Don't know (spontaneous);235000;150000;Don't know (spontaneous);Don't know (spontaneous);1513;Medium (20-99);1;1;0;0;0;0;0;0;0;0;0;32;3;1;20;790000;1;1;0;0;0;0;0;0;0;1;1;1;14;1;1
651348;33;Panel;Manufacturing;Medium;Food;2;Micro;Cyprus;Cyprus;Euro (EUR);;2017;Shareholding company with non-traded shares or shares traded privately;90;10;0;90;0;No;;0;;Yes;Yes;1946;Don't know (spontaneous);1946;3;Yes;Manufacturing of ;Processing And Preserving Of Carobs;80;535889;400390;Decrease;40;45;0;55;;;;;;;;International;6;No;;No;No;No;No;;;;No;;;No;No;;;Yes;No;2;2;0;1;0;0;1;;9;7;9;;2;;No one has a university degree;No;;;;;150000;5000;7120;1000;;379000;5000;10000;Don't know (spontaneous);Don't know (spontaneous);1513;Medium (20-99);1;1;0;0;0;0;0;0;0;0;0;75;3;1;2;535889;1;1;0;0;0;0;0;0;0;0;0;2;13;0;0
651349;34;Panel;Manufacturing;Small;Wholesale;12;Small;Cyprus;Cyprus;Euro (EUR);;2017;Shareholding company with non-traded shares or shares traded privately;25;100;0;0;0;Yes;25;100;100;No;Yes;1987;5;1987;30;No;Wholesale trade of;Sale Of Food And Beverages;100;Don't know (spontaneous);Don't know (spontaneous);Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Too many to count;No;;No;No;No;No;;;;No;;;No;;;;Yes;No;12;12;;;;;;5;3;2;7;;6;;3;Yes;Job-specific technical skills;;;;Don't know (spontaneous);;Don't know (spontaneous);Don't know (spontaneous);;;;;Don't know (spontaneous);Don't know (spontaneous);5122;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;34;30;0;12;;0;1;0;0;0;0;0;0;0;0;0;2;;1;1
651350;36;Panel;Manufacturing;Medium;Food;40;Medium;Cyprus;Cyprus;Euro (EUR);;2017;Shareholding company with non-traded shares or shares traded privately;Don't know (spontaneous);100;0;0;0;Yes;10;1;1;No;Yes;1947;50;1947;7;No;Manufacturing of ;Buying Grapes And Manufacturing Of Wine;95;6235000;4804000;Stay the same;;95;0;5;Yes;1-2 indicators;Yes;Combination of short-term and long-term targets;Achieved with normal amount of effort;Most managers and some production workers;No;National Ð main product sold mostly across the country where establishment is located;Too many to count;No;;No;No;No;No;;;;Yes;70000;0;No;Yes;154000;0;Yes;No;40;38;3;0;23;9;6;;3;0;4;;40;;11;No;;;;;550000;1677000;100000;110000;;3462000;3336000;875000;500000;10000;1552;Medium (20-99);1;1;0;0;0;0;0;0;0;0;0;74;7;0;40;6235000;1;1;0;0;0;0;0;0;0;0;0;1;16;1;0
651351;37;Panel;Manufacturing;Very Large (250+) (Cyprus and Malta only);Food;400;Large;Cyprus;Cyprus;Euro (EUR);;2018;Shareholding company with shares traded on the stock market;72;100;0;0;0;Yes;Don't know (spontaneous);0;;Yes;Yes;1927;Don't know (spontaneous);1927;8;No;Manufacturing of ;Manufacture Beverages And Beer;100;Don't know (spontaneous);4.85e+07;Increase;5;95;0;5;Yes;10 or more indicators;Yes;Combination of short-term and long-term targets;Achieved with more than normal effort;Most managers and some production workers;Yes;National Ð main product sold mostly across the country where establishment is located;2;Yes;No;No;No;Yes;No;Yes;100000;More than once a day;Yes;2000000;1000000;No;Yes;1000000;0;Yes;Yes;400;400;50;50;100;30;60;;30;10;6;30;;10;;Yes;Job-specific technical skills;25;;50;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);1000000;1000;1553;4;1;1;0;0;0;0;0;0;0;0;0;94;8;0;400;;1;1;0;0;0;0;0;0;0;1;1;1;;1;0
651352;39;Panel;Manufacturing;Medium;Wood;15;Small;Cyprus;Cyprus;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;80;100;0;0;0;No;;100;8;No;Yes;2011;3;2011;40;No;Manufacturing of ;Manufacture Of Wood Products Like Doors And Windows;80;1300000;400000;Increase;15;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;45;No;;Yes;Yes;Yes;No;No;;;Yes;50000;10000;Yes;No;;;Yes;No;15;3;5;4;3;0;1;;9;0;4;;4;;1;Yes;Managerial and leadership skills;;5;;480000;450000;16000;30000;;845000;280000;350000;60000;20000;2022;Medium (20-99);1;1;0;0;0;0;0;0;0;0;0;10;40;0;15;1300000;0;1;0;0;0;0;0;0;0;1;0;1;14;0;1
651353;40;Panel;Manufacturing;Medium;Wood;6;Small;Cyprus;Cyprus;Euro (EUR);;2018;Sole proprietorship;100;100;0;0;0;No;;100;0;Yes;No;2000;20;2000;18;No;Manufacturing of ;Manufacture Of Wooden Windows And Doors;100;300000;300000;Increase;10;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;3;No;;No;No;No;No;;;;No;;;No;No;;;Yes;No;6;7;0;5;0;0;1;;No full-time seasonal or temporary workers;;;;1;;No one has a university degree;No;;;;;110000;150000;10000;3500;;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);0;2022;Medium (20-99);1;1;0;0;0;0;0;0;0;0;0;21;18;0;6;300000;0;1;0;0;0;0;0;0;0;0;0;2;13;0;1
651354;42;Panel;Manufacturing;Medium;Construction Section F: ;27;Medium;Cyprus;Cyprus;Euro (EUR);;2017;Sole proprietorship;100;100;0;0;0;No;;100;100;No;Yes;1990;5;1990;45;No;Construction of;Installation Of Kitchens, Doors And Cabinets;80;1100000;552000;Increase;50;100;0;0;No;;Yes;Main focus was on long-term, one year or more;Achieved with more than normal effort;Most managers and some production workers;Yes;National Ð main product sold mostly across the country where establishment is located;15;Yes;Yes;Yes;Yes;No;No;;;;Yes;15000;35000;No;;;;Yes;No;27;20;;;;;;2;No full-time seasonal or temporary workers;;;40;;;6;No;;;;;230000;;15000;6000;;;;;55000;5000;4540;Medium (20-99);1;1;0;0;0;0;0;0;0;0;0;31;45;0;27;1100000;0;1;0;0;0;0;0;0;0;0;1;1;14;0;1
651355;43;Panel;Manufacturing;Medium;Construction Section F: ;12;Small;Cyprus;Cyprus;Euro (EUR);;2017;Shareholding company with non-traded shares or shares traded privately;28;100;0;0;0;No;;100;25;No;No;1980;4;1980;35;No;Construction of;Installation Of Doors And Windows;70;1700000;1100000;Increase;10;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;4;Yes;Yes;No;Yes;No;No;;;;No;;;No;;;;No;No;12;10;;;;;;2;No full-time seasonal or temporary workers;;;;7;;2;No;;;;;340000;;25000;8000;;;;;3302;Don't know (spontaneous);4540;Medium (20-99);1;1;0;0;0;0;0;0;0;0;0;41;35;0;12;1700000;0;1;0;0;0;0;0;0;0;0;1;2;14;0;1
651356;44;Panel;Manufacturing;Small;Furniture;6;Small;Cyprus;Cyprus;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;55;100;0;0;0;No;;100;20;Yes;Yes;1999;4;1999;15;No;Manufacturing of ;Manufacture Of Kitchen Cabinets And Other Furniture;100;251075;245340;Increase;5;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Don't know (spontaneous);No;;No;No;No;No;;;;Yes;17000;0;No;No;;;Yes;No;6;5;1;2;2;0;0;;No full-time seasonal or temporary workers;;;;5;;1;No;;;;;83130;Don't know (spontaneous);2000;8000;;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);8400;Don't know (spontaneous);3610;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;22;15;0;6;251075;0;1;0;0;0;0;0;0;0;0;0;1;12;0;1
651357;45;Panel;Manufacturing;Small;Furniture;4;Micro;Cyprus;Cyprus;Euro (EUR);;2017;Sole proprietorship;100;100;0;0;0;No;;100;100;No;No;1987;3;1989;30;No;Manufacturing of ;Manufacture Of Wooden Furniture;100;70000;20000;Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Don't know (spontaneous);No;;No;No;No;No;;;;Yes;5000;0;No;Yes;3000;0;Yes;No;4;Don't know (spontaneous);0;3;0;0;0;;2;0;3;;4;;No one has a university degree;No;;;;;40000;Don't know (spontaneous);3000;3000;;Don't know (spontaneous);Don't know (spontaneous);10000;Don't know (spontaneous);Don't know (spontaneous);3610;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;34;30;0;4;70000;0;1;0;0;0;0;0;0;0;0;0;1;11;0;1
651358;46;Panel;Manufacturing;Small;Publishing, printing, and Recorded media;6;Small;Cyprus;Cyprus;Euro (EUR);;2017;Shareholding company with non-traded shares or shares traded privately;95;100;0;0;0;Yes;5;100;100;No;Yes;1983;3;1983;35;No;Manufacturing of ;Printings And Signs;100;Don't know (spontaneous);Don't know (spontaneous);Stay the same;;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;4;Yes;Yes;No;No;Yes;No;No;;;Yes;70000;0;No;No;;;Yes;No;6;4;4;1;0;3;0;;No full-time seasonal or temporary workers;;;;3;;2;Yes;Managerial and leadership skills;;1;;95000;70000;2800;2500;;Don't know (spontaneous);65000;250000;Don't know (spontaneous);Don't know (spontaneous);2221;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;38;35;0;6;;0;1;0;0;0;0;0;0;0;1;1;1;;1;1
651359;48;Panel;Manufacturing;Small;Chemicals;8;Small;Cyprus;Cyprus;Euro (EUR);3;2018;Shareholding company with non-traded shares or shares traded privately;60;60;0;0;40;No;;100;100;No;Yes;1972;13;1972;40;No;Manufacturing of ;Manufacture Of Paints And Coatings;100;607746;452827;Increase;10;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;Too many to count;No;;No;No;No;No;;;;No;;;No;No;;;No;No;8;8;2;0;0;0;2;;No full-time seasonal or temporary workers;;;;8;;1;No;;;;;Don't know (spontaneous);Don't know (spontaneous);3500;7800;;Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);Don't know (spontaneous);2422;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;49;40;0;8;607746;0;1;0;0;0;0;0;0;0;0;0;2;13;0;1
651360;49;Panel;Manufacturing;Small;Wholesale;7;Small;Cyprus;Cyprus;Euro (EUR);3;2017;Partnership;60;100;0;0;0;Yes;15;100;100;Yes;Yes;1985;3;1985;44;No;Wholesale trade of;Trade Of Insulation Materials For Constructions;100;500000;300000;Increase;15;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;3;Yes;Yes;No;Yes;Yes;No;No;;;No;;;No;;;;Yes;Yes;7;4;;;;;;2;No full-time seasonal or temporary workers;;;;5;;5;No;;;;;110000;;6000;10000;;;;;Don't know (spontaneous);Don't know (spontaneous);5143;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;36;44;0;7;500000;0;1;0;0;0;0;0;0;0;1;1;2;13;1;1
651361;51;Panel;Manufacturing;Small;Non metallic mineral products;6;Small;Cyprus;Cyprus;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;40;100;0;0;0;Yes;20;100;50;Yes;No;1999;3;1999;3;No;Manufacturing of ;Manufacture Of Glass Products;100;386721;232294;Increase;10;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;10;No;;Yes;No;No;No;;;;No;;;No;No;;;Yes;No;6;6;0;6;0;0;0;;No full-time seasonal or temporary workers;;;;6;;No one has a university degree;No;;;;;167752;47723;11000;8500;;353784;47723;400000;Don't know (spontaneous);Don't know (spontaneous);2610;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;22;3;0;6;386721;0;1;0;0;0;0;0;0;0;0;0;2;13;1;1
651362;52;Panel;Manufacturing;Medium;Non metallic mineral products;15;Small;Cyprus;Cyprus;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;16;100;0;0;0;No;;100;100;No;No;1972;30;1972;40;No;Manufacturing of ;Manufacture Of Ceramic Products;100;2140670;1284359;Stay the same;;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;6;No;;No;No;No;No;;;;No;;;No;No;;;No;Yes;15;17;2;10;0;0;3;;No full-time seasonal or temporary workers;;;100;;20;;Yes;Job-specific technical skills;100;;100;596000;222800;342584;677685;;1854069;132440;2000000;2279808;Don't know (spontaneous);2693;Medium (20-99);1;1;0;0;0;0;0;0;0;0;0;49;40;0;15;2140670;0;1;0;0;0;0;0;0;0;0;0;2;15;0;1
651363;55;Panel;Manufacturing;Small;Construction Section F: ;2;Micro;Cyprus;Cyprus;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;50;100;0;0;0;No;;51;50;Yes;No;2001;3;2001;25;No;Construction of;Installation Of Aluminium Doors And Windows;50;204537;130026;Increase;20;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;5;No;;No;No;No;No;;;;No;;;No;;;;Yes;No;2;2;;;;;;0;No full-time seasonal or temporary workers;;;;2;;No one has a university degree;No;;;;;Don't know (spontaneous);;2500;5000;;;;;Don't know (spontaneous);0;4540;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;20;25;0;2;204537;0;1;0;0;0;0;0;0;0;0;0;2;12;0;1
